dataset,seed,model,sampler,steps,nfe,sliced_w2,wall_s
moons,0,1-rectified,euler,8,8,0.16658687591552734,0.054379624998546205
moons,0,1-rectified,euler,16,16,0.08547022193670273,0.1062122500006808
moons,0,1-rectified,euler,32,32,0.045197390019893646,0.21510412498901132
moons,0,1-rectified,euler,64,64,0.03208839148283005,0.42870920899440534
moons,0,1-rectified,euler,128,128,0.03136598691344261,0.8636597920121858
moons,0,1-rectified,heun,1,2,1.3730989694595337,0.01368795899907127
moons,0,1-rectified,heun,2,4,0.22064407169818878,0.027541500006918795
moons,0,1-rectified,heun,4,8,0.03679919242858887,0.05420199999934994
moons,0,1-rectified,heun,8,16,0.032842110842466354,0.10577758299768902
moons,0,1-rectified,heun,16,32,0.03253940865397453,0.21252141700824723
moons,0,1-rectified,heun,32,64,0.03364026919007301,0.4398183750017779
moons,0,1-rectified,heun,64,128,0.03470105305314064,0.8586549999890849
moons,0,1-rectified,rk4,1,4,0.15907415747642517,0.026494874997297302
moons,0,1-rectified,rk4,2,8,0.04907344654202461,0.053217374996165745
moons,0,1-rectified,rk4,4,16,0.03556283190846443,0.10532845799752977
moons,0,1-rectified,rk4,8,32,0.03232400491833687,0.2129854590020841
moons,0,1-rectified,rk4,16,64,0.03401236608624458,0.426121416996466
moons,0,1-rectified,rk4,32,128,0.03507927805185318,0.8488797919999342
moons,0,2-rectified,euler,1,1,0.033620718866586685,0.006878959000459872
moons,0,2-rectified,euler,2,2,0.03331283852458,0.013409999999566935
moons,0,2-rectified,euler,4,4,0.03363367170095444,0.027562375005800277
moons,0,2-rectified,euler,8,8,0.03385261073708534,0.054006000005756505
moons,0,2-rectified,euler,16,16,0.034026436507701874,0.10711670799355488
moons,0,2-rectified,euler,32,32,0.034196022897958755,0.2135743749968242
moons,0,2-rectified,euler,64,64,0.034276533871889114,0.43061629100702703
moons,0,2-rectified,euler,128,128,0.034367769956588745,0.9239817089983262
moons,0,2-rectified,heun,1,2,0.033673759549856186,0.014137000005575828
moons,0,2-rectified,heun,2,4,0.033738233149051666,0.02680412499466911
moons,0,2-rectified,heun,4,8,0.034030478447675705,0.053682041994761676
moons,0,2-rectified,heun,8,16,0.03412678465247154,0.1066625829989789
moons,0,2-rectified,heun,16,32,0.03419864922761917,0.21657529099320527
moons,0,2-rectified,heun,32,64,0.03429863229393959,0.4312953750049928
moons,0,2-rectified,heun,64,128,0.03433336317539215,0.8598980829992797
moons,0,2-rectified,rk4,1,4,0.033796120434999466,0.02646958398690913
moons,0,2-rectified,rk4,2,8,0.03417989984154701,0.053038500002003275
moons,0,2-rectified,rk4,4,16,0.03417680785059929,0.10687649999454152
moons,0,2-rectified,rk4,8,32,0.03422868251800537,0.21234099999128375
moons,0,2-rectified,rk4,16,64,0.0343334935605526,0.42974916599632706
moons,0,2-rectified,rk4,32,128,0.03434532508254051,0.8460144589917036
moons,0,diffusion-vp,euler,1,1,0.9762558937072754,0.006652332987869158
moons,0,diffusion-vp,euler,2,2,0.3901216983795166,0.01300491600704845
moons,0,diffusion-vp,euler,4,4,0.17865142226219177,0.026160249995882623
moons,0,diffusion-vp,euler,8,8,0.09143712371587753,0.053950083995005116
moons,0,diffusion-vp,euler,16,16,0.05381463095545769,0.10893241700250655
moons,0,diffusion-vp,euler,32,32,0.038855232298374176,0.21333104200311936
moons,0,diffusion-vp,euler,64,64,0.03509289398789406,0.42762733399285935
moons,0,diffusion-vp,euler,128,128,0.034457977861166,0.8528184159949888
moons,0,diffusion-vp,heun,1,2,0.9114263653755188,0.013203332986449823
moons,0,diffusion-vp,heun,2,4,0.2626461684703827,0.026782207991345786
moons,0,diffusion-vp,heun,4,8,0.06478619575500488,0.054514249990461394
moons,0,diffusion-vp,heun,8,16,0.031564198434352875,0.10654062499816064
moons,0,diffusion-vp,heun,16,32,0.032190755009651184,0.21296950000396464
moons,0,diffusion-vp,heun,32,64,0.0336633026599884,0.42480891599552706
moons,0,diffusion-vp,heun,64,128,0.03426594287157059,0.8605323330120882
moons,0,diffusion-vp,rk4,1,4,0.11999087035655975,0.025970582995796576
moons,0,diffusion-vp,rk4,2,8,0.0460934191942215,0.05400516701047309
moons,0,diffusion-vp,rk4,4,16,0.03875202313065529,0.10868833400309086
moons,0,diffusion-vp,rk4,8,32,0.032817114144563675,0.2700921249925159
moons,0,diffusion-vp,rk4,16,64,0.034248001873493195,0.4358984589925967
moons,0,diffusion-vp,rk4,32,128,0.034489668905735016,0.8812959999922896
moons,1,1-rectified,euler,1,1,1.8179991245269775,0.007281292011612095
moons,1,1-rectified,euler,2,2,0.7446362376213074,0.013282999992952682
moons,1,1-rectified,euler,4,4,0.34630951285362244,0.026648208004189655
moons,1,1-rectified,euler,8,8,0.17524102330207825,0.05322425000485964
moons,1,1-rectified,euler,16,16,0.09345956891775131,0.10659654201299418
moons,1,1-rectified,euler,32,32,0.05351000651717186,0.21274987500510179
moons,1,1-rectified,euler,64,64,0.035834938287734985,0.42970833300205413
moons,1,1-rectified,euler,128,128,0.0297269057482481,0.8515282909938833
moons,1,1-rectified,heun,1,2,1.3423867225646973,0.013370958011364564
moons,1,1-rectified,heun,2,4,0.22042115032672882,0.026872999995248392
moons,1,1-rectified,heun,4,8,0.04160201922059059,0.05310475001169834
moons,1,1-rectified,heun,8,16,0.028628390282392502,0.10628283300320618
moons,1,1-rectified,heun,16,32,0.029134515672922134,0.21371999999973923
moons,1,1-rectified,heun,32,64,0.028775382786989212,0.5204137079999782
moons,1,1-rectified,heun,64,128,0.027638528496026993,0.8552333749976242
moons,1,1-rectified,rk4,1,4,0.17336654663085938,0.026703124996856786
moons,1,1-rectified,rk4,2,8,0.03345467150211334,0.05362804199103266
moons,1,1-rectified,rk4,4,16,0.02889527566730976,0.10714041700703092
moons,1,1-rectified,rk4,8,32,0.02944754995405674,0.21467062500596512
moons,1,1-rectified,rk4,16,64,0.028709132224321365,0.42561170799308456
moons,1,1-rectified,rk4,32,128,0.027294449508190155,0.8509894590097247
moons,1,2-rectified,euler,1,1,0.031983260065317154,0.00736970899743028
moons,1,2-rectified,euler,2,2,0.030923591926693916,0.015403208992211148
moons,1,2-rectified,euler,4,4,0.030019110068678856,0.027124000000185333
moons,1,2-rectified,euler,8,8,0.029371008276939392,0.06132924999110401
moons,1,2-rectified,euler,16,16,0.02908126823604107,0.10723416600376368
moons,1,2-rectified,euler,32,32,0.02887023240327835,0.2119030419999035
